metric,metric_value,metric_type
abox_axiom_count,8,single_value
abox_axiom_count_incl,8,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,12,single_value
annotation_property_count_incl,12,single_value
assert_n_subclass_avg,0.0,single_value
assert_n_subclass_avg_incl,0.0,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,41,single_value
axiom_count_incl,41,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 33,map_value
axiom_type_count,ClassAssertion 8,map_value
axiom_type_count_incl,AnnotationAssertion 33,map_value
axiom_type_count_incl,ClassAssertion 8,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,8,single_value
class_count_incl,8,single_value
class_expression_count,Class 8,map_value
class_expression_count_incl,Class 8,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
curie_map,dc http://purl.org/dc/terms/,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,0,single_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,1,single_value
datatypes_count_incl,1,single_value
dt_builtin_count,1,single_value
dt_builtin_count_incl,1,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,,single_value
expressivity_incl,,single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,8,single_value
individual_count_incl,8,single_value
instance_per_class_avg,1.0,single_value
instance_per_class_avg_incl,1.0,single_value
logical_axiom_count,8,single_value
logical_axiom_count_incl,8,single_value
most_freq_concept,,single_value
most_freq_concept_incl,,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,prefix_unknown 33,map_value
namespace_axiom_count,rdfs 16,map_value
namespace_axiom_count_incl,prefix_unknown 33,map_value
namespace_axiom_count_incl,rdfs 16,map_value
namespace_entity_count,dc 1,map_value
namespace_entity_count,prefix_unknown 25,map_value
namespace_entity_count,rdfs 2,map_value
namespace_entity_count,xsd 1,map_value
namespace_entity_count_incl,dc 1,map_value
namespace_entity_count_incl,prefix_unknown 25,map_value
namespace_entity_count_incl,rdfs 2,map_value
namespace_entity_count_incl,xsd 1,map_value
obj_property_count,0,single_value
obj_property_count_incl,0,single_value
ontology_anno_count,1,single_value
ontology_iri,http://pygraf.t/,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfUndeclaredAnnotationProperty 18,map_value
owl2dl_profile_violation,UseOfUndeclaredClass 8,map_value
rbox_axiom_count,0,single_value
rbox_axiom_count_incl,0,single_value
rdfs,true,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,29,single_value
signature_entity_count_incl,29,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,0,single_value
tbox_axiom_count_incl,0,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,0,single_value
tboxrbox_axiom_count_incl,0,single_value
undecl_entity_count,29,single_value
undecl_entity_count_incl,29,single_value
